HASH_KEY,AGE_GROUP,INCOME_CATEGORY,HOUSEHOLD_OCCUPANCY,CHILDREN_AT_HOME,HOUSEHOLD_SIZE,NUMBER_OF_BEDROOMS,OCCUPATION,EMPLOYMENT_STATUS,HIGHEST_QUALIFICATION,HOME_OWNERSHIP,HOME_TYPE,HOME_VALUE,SOCIAL_GRADE,TARIFF_GROUP,ESTIMATED_CONSUMPTION_ELEC_DAY,ESTIMATED_CONSUMPTION_ELEC_NIGHT,ESTIMATED_CONSUMPTION_TOTAL
3f16d3eb53fd16affeed228cb883e02c4a718d6d7fb427edd50a4c0537531bc9,65-74,"20,000-29,999",Single Adult Household,0,1,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,2935,0,2935
4dec50c814da3b9de97f15e4de1a079e646f14b663abb4e7ea2175314daad833,35-44,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,EDF Essentials,4011,0,4011
68f472858f7c844c56c8a9c3e8cd9ec454e4276ce3ca38d81a7175fe508eb101,45-54,"50,000-74,999",Couple Household,1,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade B,EDF Essentials,2456,0,2456
6540bc7aaed6ec9254edbda80095b63ebf662a58dbdfd2d54dd784905b71718d,75+,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade C1,EDF Essentials,2219,0,2219
52d300f2ea231b5253477ed67939dd41730935f75a98f8a7ea26eb976adcd963,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Fix Total Service,2810,0,2810
a6f9c3e86e3bc1b32d2d6d33771030f6531b7bc240bf1373de42503c6166c7f1,65-74,"20,000-29,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C2,Standard,1869,0,1869
617b26b79d9059dcdfbf7b861425fa2428c50ef46c2d27651a120f7e5792635d,45-54,"10,000-19,999",Couple Household,1,3-4,3,Service Sector,Employed,GCSE Equivalent,Social Renting,Semi-Detached House,0-100k,Unknown,Safeguard Assist,2982,0,2982
c4989cc92c6f53131d852041a00b2025e3f0f6b3b04b0549b8db133aa5cbf666,25-34,"0-9,999",Single Adult Household,1,3-4,2,Service Sector,Employed,GCSE Equivalent,Social Renting,Flat or Maisonette,150-250k,Social grade C1,Deemed,2530,0,2530
fdc1d55fb1deb8e2575ca3d10cd4ee0c02a6cff74e82b63ced10963ab0c4efe7,55-64,"10,000-19,999",Single Adult Household,0,1,3,Looking after home,Not Employed,Secondary Education or Less,Social Renting,Semi-Detached House,150-250k,Unknown,Standard,2620,0,2620
8784dded1f018b6eda12cfbd5030aa539fc9e6ed335def11742f761a9056ce95,35-44,"100,000+",Couple Household,2+,3-4,3,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade B,Fix Total Service,3982,0,3982
650cbcd6ff46124fa2aec4691561bbbaf2ab6e1739e2a41b189e40b8d0cb28e5,45-54,"40,000-49,999",Couple Household,1,3-4,3,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,Standard,6979,0,6979
560fa2c053bb37dce047c3a0cf06dd6bdeb01387385ce1bf7fbb308ae6b520d7,65-74,"50,000-74,999",Couple Household,0,2,3,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,Standard,1401,0,1401
42c8ec96a5d1bff12d139af3f42f06867d1ecb4f1e6316e822608b4f4cec8c13,65-74,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,Easy Online,9261,0,9261
4ed207b90f53b490e268dc5740343ff7106fc040ea3b344f68aa0d6c00f993b5,55-64,"40,000-49,999",Couple Household,0,2,4,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C1,Essentials Exclusive,2679,0,2679
6c00dc4cbff7f7dcb96576a2b678dffb9609d2dbd714b07030aa59708cad4a3b,65-74,"10,000-19,999",Single Adult Household,0,1,1,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Semi-Detached House,150-250k,Unknown,EDF Essentials,2423,0,2423
2ef7e091622a22d0eda5430d735ba36f1a1947235f0a910af66b05ada57662cf,55-64,"75,000-99,999",Couple Household,2+,3-4,5+,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,Easy Online,6094,0,6094
3e29bc39cea3488408e731341aea6b95bd9039bf5d7d7074a2b80cd212ff1ae3,55-64,"75,000-99,999",Couple Household,0,3-4,3,Office Worker,Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,EDF Essentials,2304,0,2304
bccc9787d27b0bc269871a4803caa34cc8e87f33797dbf2d479e974bbf8a3c92,55-64,"30,000-39,999",Couple Household,0,2,3,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,EDF Essentials,2051,0,2051
dc703f60f052bcd2713ad18b74ad5b08001c6713ec38809f9a05dc02f28a0200,55-64,"20,000-29,999",Couple Household,1,3-4,3,Skilled Manual Worker,Employed,Secondary Education or Less,Owner Occupied,Terraced House,0-100k,Social grade C2,EDF Essentials,3138,0,3138
c9357bb66707fc52312eb219c8b850bbb509381c94443b1245f6d6fa30fbef2d,35-44,"0-9,999",Single Adult Household,2+,3-4,2,Skilled Manual Worker,Employed,A Level Equivalent,Social Renting,Terraced House,0-100k,Unknown,EDF Essentials,3166,0,3166
1bb0dbb267bb04114ec5f07e40a19a36dda7b37afb7168d51af3b518529e6e4a,55-64,"30,000-39,999",Couple Household,0,2,3,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,1543,0,1543
f2d802e058ad5761979bc6492fc9342fb656d8d735da94a1c22ff7d37cd63422,65-74,"10,000-19,999",Single Adult Household,0,1,3,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Terraced House,100-150k,Unknown,EDF Essentials,1500,0,1500
67ce7efb750c3fa5acb93811743ea8c2ef7120c3ce64fc317d7cf4695d319367,45-54,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,9071,0,9071
e601803097cfc1ad373e33325f90550936b06ff18096919793fd4548abcbcd5a,18-24,"100,000+",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,9770,0,9770
db3a07192ee98f9c4c984a8556b72b6352afe048711ea36b00c6252c375a540c,55-64,"100,000+",Couple Household,0,2,5+,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,3743,0,3743
0eaafc115f6c0afb11fef09154226ce1e4a542051ec4ff27ed1c4a51715e949f,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Standard,2762,0,2762
24ac39646aa9a259e588efe29a5760c3ccc4575eaf4aa94846cf00ce379e6ae9,55-64,"75,000-99,999",Couple Household,2+,3-4,4,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Fix Total Service,1970,0,1970
fce880311d169db0eb15bd50e4c62479772d37ea2f2dfaaf17c676ed5d6f8d82,55-64,"10,000-19,999",Single Adult Household,0,1,2,Skilled Manual Worker,Employed,Secondary Education or Less,Owner Occupied,Terraced House,150-250k,Social grade C2,EDF Essentials,2328,0,2328
b85660c85ab0fe37595be0602979e2333de9be2c4b51a521039146a3266bac6b,55-64,"50,000-74,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C2,Standard,885,0,885
dd75fa2402ff23f40be13a4d8a42b263c8f16f459b94fc96bce1f0f0eaaf341d,25-34,"50,000-74,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Private Renting,Terraced House,150-250k,Social grade C1,EDF Essentials,1602,0,1602
5ae4944f3d7c109b93caf2221a42cd4ec855e73da8edea497712440b6bd7213a,65-74,"10,000-19,999",Single Adult Household,0,1,2,Retired,Not Employed,GCSE Equivalent,Social Renting,Semi-Detached House,150-250k,Unknown,Easy Online,1273,0,1273
593ab55a3f8fb056224bacc9c7e467cc5bc7d89058543c12c8c47d1974013b39,55-64,"20,000-29,999",Single Adult Household,Unknown,3-4,1,Looking after home,Not Employed,GCSE Equivalent,Owner Occupied,Terraced House,0-100k,Social grade C2,Standard,2543,0,2543
1f56f589d57a58d217a3b991a3d1aaf96a87d42e7b238e86b9c85dbffed9f158,65-74,"20,000-29,999",Single Adult Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,EDF Essentials,2788,0,2788
bcb394d32623e8c7e51f86c32cb9675eae2b0168a6267ac22196371b9771f840,55-64,"50,000-74,999",Single Adult Household,0,1,1,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,500k+,Social grade B,Deemed,2067,0,2067
b73ce83a3aad0a9c6bb69334dfee76e86c84ee4fc749242372e78622c82e6c32,55-64,"100,000+",Multi-Occupancy Household,0,5+,5+,Student,Not Employed,University Degree or Higher,Private Renting,Terraced House,500k+,Social grade C1,Standard,4262,0,4262
999272877eee20bad1c5bf8733a40a7a8de2b72dc564f016a2a2be773bbe740d,35-44,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,EDF Essentials,1427,0,1427
05beb5e16c771b15b34ad7538ba4ddfcaad47b8ff30259638372ad93f6030d64,75+,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Deemed,2885,0,2885
818eefc7035fb3d75a85c8a5acc00dd8529763c99657f662f2ae3bc7fb9721f9,55-64,"40,000-49,999",Couple Household,2+,3-4,3,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Easy Online,2788,0,2788
0f8110ccc6b189225289409c8cd36831362d9587b91d5c28a20c7c1ebbf318ef,25-34,"50,000-74,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Private Renting,Terraced House,150-250k,Social grade C1,Standard,1884,0,1884
c6079bcd65e72f4fae1015b338ecf21c5d2a8aa29c630ff17514f812d48103f0,45-54,"100,000+",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Easy Online,2878,0,2878
3c84c1c002f7e8616fc30c34e98f7ab5340bb02365b95de672c95a8ddf3111b5,55-64,"30,000-39,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Deemed,3233,0,3233
0045034694b28ba56978092fc4dd601c58774fd74c30b738adb47e11a75f44a6,65-74,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C2,EDF Essentials,2031,0,2031
8fc150223679c097e6f78b63590719376f4ce4314fb47bcc1ed95380da76a125,55-64,"50,000-74,999",Couple Household,2+,3-4,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,Fix Total Service,8155,0,8155
efcaad3bfc6033a064f9d94a4bb6d3ddbd092d88cc8bef0371628f285f9ad72d,55-64,"100,000+",Single Adult Household,0,1,1,Director/Managerial,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,500k+,Social grade B,Standard,1540,0,1540
5b831d1e3e8cc5d6c02d4b0ad0baf5b34ca527837ee725e9461613a6cd9070ba,55-64,"75,000-99,999",Couple Household,0,3-4,5+,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,Standard,4387,0,4387
3019cb5d8cbbe84a58b4485be239c91ebd0680658a889f63add3d10551ea3421,35-44,"20,000-29,999",Couple Household,1,3-4,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Terraced House,100-150k,Social grade C2,Essentials Exclusive,1369,0,1369
5c1f86146e521a17d3bb7959c573d9d2ab4372721a5b61e21cf3833bcc9d8a79,65-74,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade C1,Standard,2147,0,2147
d119bbe57b5f2befe58d46213905dedd2959ff1339f299aafe8e6badb2ce8f0c,65-74,"75,000-99,999",Couple Household,1,3-4,5+,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,Standard,7910,0,7910
276def35fb76a9a9697839b2af29687d942bd3c45701a636be632abdca8d2759,55-64,"100,000+",Couple Household,1,3-4,5+,Office Worker,Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade C1,EDF Essentials,2742,0,2742
93fce4a91b6282c383d8846cc873f58993aa5331bc651b82daac770102ed8ac8,25-34,"20,000-29,999",Couple Household,0,2,3,Service Sector,Employed,University Degree or Higher,Owner Occupied,Terraced House,150-250k,Social grade C1,Standard,3556,0,3556
cbb6d15aba0041adec0c6234e362155c0d00fa0c29e44e56d4542cb06afedff2,65-74,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade B,EDF Essentials,8913,0,8913
de28fc7948dca2fa680019d70970863702f958dfe89611f888cb5b3cf56381c3,55-64,"50,000-74,999",Couple Household,0,2,3,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade C1,EDF Essentials,1633,0,1633
fb30278d053c3c7b8818360eb995b4ba1efe1b4601bb9a505a7dc019af9bb36f,65-74,"30,000-39,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade C1,Standard,2635,0,2635
c3301f8b3d05f9c369f02db74bca7821c73bbd8f3a569228dd86b58f2ec4dedd,55-64,"50,000-74,999",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,EDF Essentials,3377,0,3377
3333c3eabe62b417f952276c67aa1d42f0a40056732277b29c6c66683294c25d,75+,"20,000-29,999",Single Adult Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Standard,2873,0,2873
82ecd7bef1fbbd07d32477d065f1f254641289aeeaf47ac810c1289aad2773ed,65-74,"100,000+",Couple Household,0,2,5+,Retired,Not Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,EDF Essentials,3045,0,3045
bfcdc66918dd2b7b06e87da770d601a66a4088fc3f1ab6967ae407dacfa42061,55-64,"30,000-39,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,EDF Essentials,3283,0,3283
e1a7be72b4f44504689e94376f74700591c00c1d7c8fe4fd0b9021a264f1db1f,55-64,"50,000-74,999",Couple Household,1,3-4,4,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,2825,0,2825
e16aba4148a7c399e5f046f0b83ccec0c02c853ff21a26d49f0a434cec3f30ae,75+,"10,000-19,999",Single Adult Household,0,1,2,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,100-150k,Unknown,EDF Essentials,4222,0,4222
034a0690a9f41fe67b99c46aa6d4e87f24454bb0cb61feb3bbe5fc1eafe6478a,35-44,"0-9,999",Single Adult Household,2+,3-4,3,Skilled Manual Worker,Employed,A Level Equivalent,Private Renting,Flat or Maisonette,100-150k,Social grade D,Standard,863,0,863
4828005e0b4d836aa42d6e9d1612e129ae178c8316da959ff6108fb2e6ae9f98,25-34,"40,000-49,999",Couple Household,1,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,150-250k,Social grade C1,EDF Essentials,3040,0,3040
1037fbdd4f779bf77cc2ce444eb1b26d67bbbfc737edb3ba1d1b15903584262f,18-24,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Fix Total Service,3999,0,3999
35e39cd82d3cc682a8e4694009c6379772ca642dcb4ab3b44791f06931b4743a,55-64,"30,000-39,999",Couple Household,0,2,2,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C2,Standard,4818,0,4818
703bf6591de7c97db1de896ef47757f8ca15b8f064d50d946eff01442e04106b,45-54,"40,000-49,999",Couple Household,1,3-4,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C2,Standard,3143,0,3143
270ace03157019289e946b903be6be11ce09fda5d2a6fad7dc472d5b29985cfb,25-34,"30,000-39,999",Single Adult Household,1,2,2,Professional,Employed,University Degree or Higher,Private Renting,Terraced House,100-150k,Social grade C2,Standard,1326,0,1326
1345d29a9eb68f9f9e18b41deb93800f7ce9db56990756e180b65be466c524b1,45-54,"50,000-74,999",Couple Household,1,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,EDF Essentials,3552,0,3552
2ea20ddf08f8360744a5dfb16126de3e23050ec13599e099da5bc4e59460e473,55-64,"40,000-49,999",Couple Household,0,2,3,Office Worker,Employed,GCSE Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Fix Total Service,2635,0,2635
d6179ddf8fba4d710722a3c303646a840ae23595dda4d2061339c84b6ec205fe,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Deemed,3247,0,3247
a3aecd7d6578a2ee833b36d11332d07ce45ddc6153f1670ed39cda3fcba27d93,25-34,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,2221,0,2221
bd118f106976b72a1b20bfe46f582df51dd3764dc4a07814047fcfb29aa8a93f,65-74,"20,000-29,999",Single Adult Household,0,1,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,EDF Essentials,1635,0,1635
4ca71274920eb944e2bf121e719c315a5f6ab15b15b9c8d426535ea7a5750249,25-34,"40,000-49,999",Couple Household,1,2,2,Professional,Employed,University Degree or Higher,Private Renting,Terraced House,250-500k,Social grade C2,Standard,3263,0,3263
7a6d7f2b9b4a4f61967afc0f6ce834fda6b1bb57cb7e92fbd9ce5538cbbdb5d7,45-54,"10,000-19,999",Single Adult Household,1,3-4,3,Service Sector,Employed,GCSE Equivalent,Social Renting,Terraced House,100-150k,Unknown,EDF Essentials,3333,0,3333
f6fd1f8678a9c1b083ca50ace787957167e7eac0e1df9b31e7346c21cce230b0,55-64,"75,000-99,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Standard,5621,0,5621
27b7e90dcb747c219905a1552d607e8675643bbbad8c363e61dd7c0245e3d199,45-54,"100,000+",Couple Household,2+,3-4,5+,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,8400,0,8400
d00bc897d31aa70b4c9e50cf101e59b052b31c1be0a13940be727d1dd53afc38,35-44,"75,000-99,999",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade C1,Deemed,4308,0,4308
cc511a631f1088b2c8182071eeda0d3cebf02fa3b432968206450d5b705ce634,18-24,"30,000-39,999",Couple Household,0,2,3,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C2,Standard,1453,0,1453
1f3a93eeae1a5b542d23efcbdd2f389d665e26ba1edf321d0485a6f45d01af76,65-74,"40,000-49,999",Couple Household,0,2,4,Retired,Not Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Essentials Exclusive,1999,0,1999
36aec70f8f87120b59e0ec5b8e9be468110de3adb74d123fd9cbee4098f0d21c,65-74,"20,000-29,999",Single Adult Household,0,2,3,Retired,Not Employed,GCSE Equivalent,Owner Occupied,Terraced House,100-150k,Social grade C1,Standard,902,0,902
d72c0794ca9c27f551fbed265c9029d81633b05de9715b88ef454f97680f66b0,65-74,"10,000-19,999",Single Adult Household,0,1,2,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Semi-Detached House,500k+,Social grade C1,EDF Essentials,4888,0,4888
9552604fde4f5a52b97ba3585ef0d4b2c30e9e535a7582a72b52c00b4db048b5,55-64,"50,000-74,999",Couple Household,0,2,3,Professional,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade B,Essentials Exclusive,5324,0,5324
15128ef10a694beef0eed04c0622c076f6bb840bda740256e61e9fc38eedf8fe,65-74,"40,000-49,999",Couple Household,1,3-4,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,150-250k,Social grade C1,Standard,1952,0,1952
8058a036b1ac0410bd2a0d2236053a9a2c06fcbac2165807111309580040e42f,25-34,"50,000-74,999",Couple Household,0,2,2,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Standard,9767,0,9767
ef819aa752e790685f3193a9769cb6469c79667fa404a4f70a1c681feeb6e280,45-54,"100,000+",Couple Household,2+,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,7464,0,7464
505860fb663c64b1f07ff01409acc0352149b87f0a5c3445837d017f14fdf59d,55-64,"50,000-74,999",Couple Household,0,2,3,Office Worker,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,2519,0,2519
7dcae9e9c8247d031dfe5ae23dfce5867ba271e09ee8fdb92cb954cc0793f8fa,45-54,"75,000-99,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Standard,3883,0,3883
0a2ba71e7c6ccbb66f88da696be390e26c04d9a1f9019f7fe9f5f3ba908364c4,65-74,"40,000-49,999",Couple Household,0,2,4,Student,Not Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,138,0,138
0eafcfd076ccc842900446a334ff0e2895bec901f1e947e89ba879f2ea02ab25,45-54,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,150-250k,Social grade C1,Standard,5554,0,5554
3535fa9f1ab5a359a2545430934e77dc5483fa733343a058752f24364842594c,55-64,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Fix Total Service,2501,0,2501
16ed6ca1d8132e9b8d0248292c12ba3515bdf328e1a6c395067bdfc0beb717cd,25-34,"50,000-74,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade B,Deemed,2149,0,2149
