ANON_ID,Group,Post,Pre,AGE_GROUP,INCOME_CATEGORY,HOUSEHOLD_OCCUPANCY,CHILDREN_AT_HOME,HOUSEHOLD_SIZE,NUMBER_OF_BEDROOMS,OCCUPATION,EMPLOYMENT_STATUS,HIGHEST_QUALIFICATION,HOME_OWNERSHIP,HOME_TYPE,HOME_VALUE,SOCIAL_GRADE,TARIFF_GROUP,Delta,Delta_pct,Cluster
1f793c0212ba214e05e48254e17333e33da6ff472c712349d5493fa5725f3e26,Control,0.36845460992907797,0.4054391859914813,35-44,"40,000-49,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,-0.03698457606240335,-0.09122101992179028,4.0
1fda409491f6c126dcbb3b6ec4a5ab1d5667a68e61cd0133096d702e05ff98f8,Control,0.15057692307692308,0.14787581699346405,65-74,"20,000-29,999",Single Adult Household,0,1,3,Retired,Not Employed,Secondary Education or Less,Owner Occupied,Semi-Detached House,100-150k,Social grade C1,Fix Total Service,0.002701106083459026,0.018266043348916287,5.0
201a78eaaa4ea461cb9d06ea5e93c0c9c99bf7829f113d3086a066f1242bd18b,Control,0.1189695035460993,0.13839185393258427,65-74,"40,000-49,999",Single Adult Household,0,1,2,Retired,Not Employed,University Degree or Higher,Owner Occupied,Flat or Maisonette,500k+,Social grade B,Fix Total Service,-0.019422350386484974,-0.1403431620761892,5.0
208e8ec0856d57e5397f5255b687305469382814b7870d6ddb9fe4002a4b934a,Control,0.2277747967479675,0.2429568245125348,65-74,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Easy Online,-0.015182027764567313,-0.062488583290583925,1.0
22263f6fd6d0241f1a4efa326bc9142c05b155ec0a7b6eb234e36c2fec4cf156,Control,0.15374609929078015,0.1409842080817464,55-64,"40,000-49,999",Couple Household,0,2,3,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Easy Online,0.01276189120903376,0.09052000491880677,5.0
228a1f50501f48424ab2be73944417d3420e96af01b7fb30bfc4a39b22cc0466,Control,0.5970883620689655,0.5164705882352941,35-44,"75,000-99,999",Couple Household,2+,5+,5+,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade B,Easy Online,0.08061777383367141,0.15609363954127722,0.0
231bc6281b528e253387f2d302da1e9363e298f3dc3807a05af9a9d0465a8570,Control,0.41031007751937987,0.4015403992395437,65-74,"20,000-29,999",Single Adult Household,1,3-4,4,Retired,Not Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Essentials Exclusive,0.008769678279836157,0.021840089556230433,7.0
23ebb3ff6ef147092cd840c32e4463a9dcfc4c538b7c985dc47ab57971718ccb,Control,0.26190099715099713,0.2286132648295189,45-54,"50,000-74,999",Couple Household,2+,3-4,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,150-250k,Social grade C2,Standard,0.03328773232147822,0.14560717789626726,4.0
249362740883754d47a7839c508aa03b250165aac5add4e9561645ab90c41f70,Control,0.0820534188034188,0.12675733581741966,18-24,"75,000-99,999",Single Adult Household,0,1,1,Professional,Employed,University Degree or Higher,Private Renting,Flat or Maisonette,250-500k,Social grade C1,Standard,-0.04470391701400085,-0.35267321394630796,5.0
25767040a731b7fe0ac9c7b275ca94314e7d51685ca8102430e935c5edc65e2d,Control,0.12962303290414878,0.10422062238736647,55-64,"50,000-74,999",Couple Household,0,2,3,Office Worker,Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,0.02540241051678231,0.243736891364617,5.0
26413993e5ae8f8958e726278493c6bd047f906e18a831b61b4edacfd05e059a,Control,0.28626950354609926,0.34076672950047127,55-64,"100,000+",Couple Household,0,2,4,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Standard,-0.05449722595437201,-0.15992531323189707,2.0
276def35fb76a9a9697839b2af29687d942bd3c45701a636be632abdca8d2759,Control,0.1947872340425532,0.19420687984496124,55-64,"100,000+",Couple Household,1,3-4,5+,Office Worker,Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade C1,EDF Essentials,0.000580354197591948,0.002988329754616597,5.0
27870c02764e3f1fc4050ea037e1b3bdf14a7a2d2663689fdb641738075465a1,Control,0.48064957264957264,0.5267287110283854,45-54,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,EDF Essentials,-0.04607913837881272,-0.08748172904576967,7.0
28dd21cc01f0461dd9faf7d88786ab2774a2cd8add8c608a63edf21997786d60,Control,0.184395,0.2537350069735007,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Fix Total Service,-0.0693400069735007,-0.27327725803614616,5.0
29095625b2f22e6f46c1dc981db80c7d89f1167749d55437838b32ebbe7cdde5,Control,0.13324606580829756,0.11742850241545894,55-64,"10,000-19,999",Single Adult Household,0,1,1,Unemployed,Not Employed,Secondary Education or Less,Social Renting,Flat or Maisonette,150-250k,Social grade D,Deemed,0.01581756339283863,0.1346995241144821,5.0
29eab79a05cd72a23c3bcf27c76b1041191b9c8190f15009350484165bb000b5,Control,0.16865992779783393,0.1616247672253259,65-74,"50,000-74,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,500k+,Social grade B,Standard,0.007035160572508026,0.04352773831191416,1.0
2a8f5565849e0c1e1f5db31ab74bc591e0c548b937334d6edafe391633c91b3e,Control,0.15408117816091954,0.23563653222067685,55-64,"75,000-99,999",Couple Household,0,2,4,Service Sector,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade C1,Standard,-0.0815553540597573,-0.34610657902306763,1.0
2ac811d32213336ffe6ce8690f58bdb499a34fccc658139f645443d0f34d4fd0,Control,0.22947659574468085,0.23421322160148975,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,Safeguard Assist,-0.004736625856808896,-0.020223563061133213,4.0
2d28ee0a5ac2704ac545e890e2ef6a34052591c5b7ded6ac3a0163cfbc2900e2,Control,0.32536117059243397,0.2997578161455903,25-34,"40,000-49,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Private Renting,Detached House,150-250k,Social grade B,Standard,0.025603354446843696,0.08541346736529574,4.0
2e2ada6240dd52579e458312441428d83a0230a86bada2eeb681541936a56bd3,Control,0.24933977110157368,0.23971077065923863,55-64,"75,000-99,999",Couple Household,0,2,4,Office Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade C1,Standard,0.009629000442335056,0.04016924402626523,5.0
2e6d83e04e6ffc507ef1048519e5ef0bf3768abd751a19b4e539a4fb8be9b5e7,Control,0.28832051282051285,0.3446695156695157,45-54,"50,000-74,999",Couple Household,0,2,3,Service Sector,Employed,University Degree or Higher,Private Renting,Terraced House,250-500k,Social grade C1,Deemed,-0.05634900284900285,-0.16348705147174303,3.0
2e95290cc593c1c6e0fd0d0e232f6bde3e522ac267e071a5ee9658ae7458dad2,Control,0.4776545584045584,0.47158046248230295,55-64,"100,000+",Couple Household,0,2,4,Looking after home,Not Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,500k+,Social grade B,EDF Essentials,0.00607409592225544,0.012880295952641133,1.0
2ee0a99f29844ab08232367d03aca860b244e1e11586e3216343b285eae6b1d5,Control,0.2686158798283262,0.24574485018726588,55-64,"40,000-49,999",Couple Household,0,2,3,Office Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,Deemed,0.022871029641060303,0.0930681950145926,5.0
30e0ad4499cb19dc2690888c174d58c98965e2c3dd1fed763c0559c2c99876a1,Control,0.16218454935622317,0.23296956928838952,35-44,"50,000-74,999",Couple Household,1,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,-0.07078501993216635,-0.30383805124583735,5.0
320973a0d7774000f695486db838815fd69b1335e78cc5ea2de2c9f4073c729d,Control,0.19330324074074076,0.21829705744978983,55-64,"20,000-29,999",Couple Household,0,2,4,Director/Managerial,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Easy Online,-0.02499381670904907,-0.1144945195369748,4.0
32b1b813913d6743fedf9f54280eb31ccb1605d5564841f5135eb64bc7255437,Control,0.28489563974267335,0.2318519906323185,65-74,"100,000+",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,0.053043649110354835,0.22878237519415512,5.0
3405041d9c6c47cb5e5e7112a05ff22b3772dd71b979723cd117529ad502d7f2,Control,0.4145379113018598,0.39176603773584906,45-54,"30,000-39,999",Couple Household,2+,3-4,3,Service Sector,Employed,GCSE Equivalent,Owner Occupied,Semi-Detached House,100-150k,Social grade C2,Fix Total Service,0.022771873566010736,0.058126206389959786,1.0
34700b0b606f204b6a649b00ad488d0421d06237105ef85063c82c4e7cbde2b8,Control,0.714791341376863,0.6555698630136986,55-64,"40,000-49,999",Couple Household,0,2,4,Director/Managerial,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,0.05922147836316438,0.09033587677584702,3.0
3535fa9f1ab5a359a2545430934e77dc5483fa733343a058752f24364842594c,Control,0.23404632929436922,0.2520823255813953,55-64,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,250-500k,Social grade B,Fix Total Service,-0.018035996287026096,-0.07154803989303257,2.0
35c2df60ad29329f8eb4247096ea0d74b49397a4e417187c37584607ed196655,Control,0.306754609929078,0.3271374513077351,65-74,"50,000-74,999",Couple Household,0,2,4,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,500k+,Social grade B,Engage,-0.02038284137865709,-0.06230665824770746,3.0
35c5e4aacb7fa66170714b9d6b72fa6199d3092ba039ccda6d6995fcb5d0c6a5,Control,0.18262482269503544,0.17722435597189698,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Skilled Manual Worker,Employed,University Degree or Higher,Private Renting,Terraced House,250-500k,Social grade B,Standard,0.0054004667231384584,0.030472486095504996,5.0
376bd1b9f819fe18b9348f5af8e81c35ebaa4566742b9cf119ac3d0910cf53b8,Control,0.12317739628040057,0.13506366171003717,55-64,"50,000-74,999",Couple Household,0,2,5+,Office Worker,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,250-500k,Social grade C1,Deemed,-0.011886265429636597,-0.08800491027079327,5.0
38b06e63f05bc681d2235d1b18c71a23236a3623d69c5aeba0f232b9589b2017,Control,0.1843340425531915,0.21196028037383177,65-74,"20,000-29,999",Couple Household,0,2,3,Retired,Not Employed,A Level Equivalent,Owner Occupied,Detached House,150-250k,Social grade C1,EDF Essentials,-0.027626237820640276,-0.13033686203809608,4.0
3a344121886575963b40438465e842be05fb23b6a7c6fe9c6dd45d3ee7d4a341,Control,0.15365954415954416,0.1857613689639006,65-74,"20,000-29,999",Single Adult Household,0,2,3,Looking after home,Not Employed,A Level Equivalent,Owner Occupied,Terraced House,250-500k,Social grade C1,Fix Total Service,-0.032101824804356444,-0.1728121674781308,5.0
3ab085c095f0d805b11974bf44014a3eef547b31a844a2425bcfc31f26ffef36,Control,0.17354885057471264,0.2549693023255814,18-24,"100,000+",Couple Household,2+,3-4,4,Looking after home,Not Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,-0.08142045175086876,-0.3193343316557357,1.0
3acb5b0c203dfeb61981490aa728ba38a9f86480c8e2942bf876f006e60af61e,Control,0.287180269694819,0.34191597028783655,45-54,"50,000-74,999",Couple Household,1,3-4,4,Professional,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade B,Standard,-0.05473570059301752,-0.16008524125661383,6.0
3cbf25f08121a5a7c3bc2b0852ad89d899b4355aa5de3c2643dcffe252aa7539,Control,0.2510316091954023,0.2655110796793965,55-64,"20,000-29,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,Fix Total Service,-0.014479470483994228,-0.05453433619974777,0.0
3dfbf2a79d374475c9371a73f91f9327df69938895ca84d3ae4d27ee349b3545,Control,0.30757700496806245,0.29963793911007025,35-44,"50,000-74,999",Couple Household,2+,3-4,3,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,0.0079390658579922,0.026495529509952445,0.0
3e59a401e3388eef541ca28264ef72b55f49f180611ea322ba69e99aa5776334,Control,0.22748116760828627,0.22288457807953443,55-64,"100,000+",Couple Household,0,2,4,Office Worker,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,EDF Essentials,0.004596589528751832,0.020623183390963813,0.0
3e90a81d4a49c4f59ebf8117d0d4858c528bb66519b94d35693d4265b0550366,Control,0.1808283475783476,0.20034543761638732,55-64,"75,000-99,999",Couple Household,1,3-4,5+,Office Worker,Employed,University Degree or Higher,Owner Occupied,Terraced House,500k+,Social grade B,Deemed,-0.019517090038039725,-0.09741719237655012,5.0
3f3ada98874e6be863e177c9cb853be653944212401e1b18e841c5a1dd3d4d6b,Control,0.3241339031339031,0.3771798766018035,45-54,"40,000-49,999",Couple Household,0,2,3,Professional,Employed,University Degree or Higher,Owner Occupied,Semi-Detached House,150-250k,Social grade C1,EDF Essentials,-0.05304597346790041,-0.1406383976415108,4.0
3f6b8ab84be4002005e65d295766f9993ced97b9ddeb27adb686aad8b54f456d,Control,0.22317094017094016,0.2660710306406685,55-64,"30,000-39,999",Couple Household,0,2,4,Office Worker,Employed,A Level Equivalent,Owner Occupied,Detached House,250-500k,Social grade C1,EDF Essentials,-0.04290009046972834,-0.16123548048966416,5.0
42ce88b37f283f13877d54a2a6cc6992b8dad66159c0647ba4cb02fe715dfc7e,Control,0.23919290780141844,0.2602038068709378,55-64,"75,000-99,999",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Deemed,-0.021010899069519362,-0.08074785423850796,4.0
432521c616a3c62c177181474448695ed4deb7a7d24b3c6d073baf20279db26e,Control,0.13329764453961457,0.2189261152416357,25-34,"50,000-74,999",Couple Household,1,3-4,2,Professional,Employed,University Degree or Higher,Owner Occupied,Terraced House,250-500k,Social grade C1,Standard,-0.08562847070202112,-0.39112953978793374,7.0
457f51611dfb1d737d8f883a7107457219fbef5425e69520de7d6d8789e2b046,Control,0.4515581560283688,0.3918276506305465,55-64,"40,000-49,999",Couple Household,0,2,3,Skilled Manual Worker,Employed,A Level Equivalent,Owner Occupied,Semi-Detached House,250-500k,Social grade C2,EDF Essentials,0.05973050539782232,0.15244076139522397,7.0
45b63a423c773ebe48369d5dd3e002d24c2a066e1cb910db370f9eebced11f64,Control,0.0905954415954416,0.08150420168067227,45-54,"100,000+",Couple Household,0,2,4,Professional,Employed,University Degree or Higher,Owner Occupied,Detached House,500k+,Social grade B,Deemed,0.00909123991476933,0.11154320547041452,5.0
